date_time,members1,members2,members3,holiday,totalsales,nop
2020/1/1,8737,0,0,1,164101892.7,221758
2020/1/2,13921,0,0,1,299349472.0,467468
2020/1/3,19134,0,0,1,447756935.0,711196
2020/1/4,24809,0,0,1,609309649.7,959211
2020/1/5,30631,0,0,1,808572944.7,1231410
2020/1/6,36268,0,0,1,1011325854.0,1479323
2020/1/7,41885,0,0,1,1190055563.0,1748532
2020/1/8,38945,0,0,0,1224769118.0,1810502
2020/1/9,40498,0,0,0,1258282900.0,1848478
2020/1/10,41851,0,0,0,1326830874.0,1886838
2020/1/11,43185,0,0,0,1421240393.0,1909354
2020/1/12,44206,0,0,0,1432364106.0,1910593
2020/1/13,44911,0,0,0,1435547863.0,1936552
2020/1/14,45560,0,0,0,1449484623.0,1947318
2020/1/15,46035,0,0,0,1452892773.0,1953768
2020/1/16,46007,0,0,0,1477894145.0,1960998
2020/1/17,48104,0,0,0,1454240317.0,1965549
2020/1/18,50397,0,0,0,1393214253.0,1982003
2020/1/19,52370,0,0,0,1394134506.0,1988304
2020/1/20,54914,0,0,0,1373182174.0,1998641
2020/1/21,57388,0,0,0,1351222347.0,2000183
2020/1/22,60248,0,0,0,1346410452.0,1985277
2020/1/23,62638,0,0,0,1339549935.0,1951644
2020/1/24,61762,0,0,1,1293423179.0,1843926
2020/1/25,58506,0,0,2,1197305824.0,1694508
2020/1/26,56085,1,0,3,1107452026.0,1574624
2020/1/27,52454,1,0,4,1086901685.0,1435979
2020/1/28,48652,1,0,5,1065974011.0,1283447
2020/1/29,44361,1,0,6,1022848204.0,1121792
2020/1/30,40015,1,0,7,1003463811.0,968203
2020/1/31,36795,1,0,7,1023436529.0,887701
2020/2/1,33342,1,0,6,1058386317.0,840473
2020/2/2,29409,0,0,5,1057799872.0,771459
2020/2/3,26185,0,0,4,1815079305.0,694860
2020/2/4,22956,0,0,3,1745249985.0,623100
2020/2/5,19773,0,0,2,1669475498.0,562325
2020/2/6,16408,0,0,1,1572319664.0,502784
2020/2/7,13400,0,0,0,1473653529.0,447448
2020/2/8,12238,0,0,0,1401729335.0,401164
2020/2/9,11310,0,0,0,1329382612.0,363439
2020/2/10,10713,0,0,0,461305427.0,331628
2020/2/11,10094,0,0,0,420363834.4,302691
2020/2/12,9663,0,0,0,382122559.3,278179
2020/2/13,9434,0,0,0,348850691.3,259815
2020/2/14,8917,0,0,0,324453961.6,239509
2020/2/15,8590,0,0,0,296495900.9,222488
2020/2/16,8208,0,0,0,280457000.7,201791
2020/2/17,7851,0,0,0,611660010.0,190720
2020/2/18,7706,0,0,0,1108540736.0,185597
2020/2/19,7600,0,0,0,1597417668.0,183840
2020/2/20,7667,0,0,0,1802203707.0,183219
2020/2/21,7782,0,0,0,2034811991.0,188060
2020/2/22,7991,0,0,0,2039887738.0,190738
2020/2/23,8136,0,0,0,2044171193.0,193686
2020/2/24,8283,0,0,0,1692823691.0,198493
2020/2/25,8554,0,0,0,1579454465.0,204555
2020/2/26,8838,0,0,0,1099469102.0,211175
2020/2/27,8946,0,0,0,954336170.5,215772
2020/2/28,9314,0,0,0,707305744.1,223606
2020/2/29,9444,0,0,0,873209702.1,229770
2020/3/1,9538,0,0,0,887474570.3,239174
2020/3/2,9633,0,0,0,912971194.1,244759
2020/3/3,9648,0,0,0,548835803.9,247831
2020/3/4,9356,0,0,0,746385570.9,246758
2020/3/5,9248,0,0,0,693614104.3,246908
2020/3/6,9057,0,0,0,731363458.3,244345
2020/3/7,8877,0,0,0,574756172.6,240824
2020/3/8,8624,0,0,0,573295489.7,230692
2020/3/9,8398,0,0,0,565097482.9,224020
2020/3/10,8316,0,0,0,548740764.4,221738
2020/3/11,8195,0,0,0,338833427.9,219714
2020/3/12,8053,0,0,0,328988636.1,219443
2020/3/13,7991,0,0,0,287053747.1,218148
2020/3/14,7954,0,0,0,261890069.3,220727
2020/3/15,8197,0,0,0,220729317.1,226274
2020/3/16,8488,0,0,0,198745334.2,230636
2020/3/17,8498,0,0,0,167410794.1,229087
2020/3/18,8471,0,0,0,147456795.5,228101
2020/3/19,8397,0,0,0,123725125.0,224184
2020/3/20,8296,0,0,0,511163580.8,221907
2020/3/21,8203,0,0,0,498268701.3,214838
2020/3/22,7922,0,0,0,507682622.7,205414
2020/3/23,7181,0,0,0,486114079.1,192670
2020/3/24,6497,0,0,0,483782522.7,183903
2020/3/25,6029,0,0,0,481141487.5,175713
2020/3/26,5502,0,0,0,479194076.2,170327
2020/3/27,4826,0,0,0,70532637.94,161661
2020/3/28,4199,0,0,0,69821532.77,154045
2020/3/29,3601,0,0,0,57815505.6,148077
2020/3/30,3391,0,0,0,57793684.74,147143
2020/3/31,3539,0,0,0,55611242.19,153044
2020/4/1,3405,0,0,0,49593549.42,151624
2020/4/2,3290,0,0,0,43753262.25,149055
2020/4/3,3185,0,0,0,46213356.83,149606
2020/4/4,2961,0,0,1,38362446.5,142488
2020/4/5,2803,0,0,2,45805985.42,133147
2020/4/6,2750,0,0,3,51117332.23,135467
2020/4/7,2480,0,0,3,46917879.61,129542
2020/4/8,2586,0,0,3,46194160.12,132624
2020/4/9,2588,0,0,3,48023532.36,132393
2020/4/10,2639,0,0,3,45036946.28,133546
2020/4/11,2729,0,0,2,46401574.73,139013
2020/4/12,2759,0,0,1,37730796.52,144674
2020/4/13,2700,0,0,0,28759635.43,138836
2020/4/14,2703,0,0,0,29653659.51,135380
2020/4/15,2571,0,0,0,26732754.53,133226
2020/4/16,2512,0,0,0,24645332.93,131397
2020/4/17,2436,0,0,0,28732667.31,126823
2020/4/18,2364,0,0,0,29727346.15,123642
2020/4/19,2354,0,0,0,27347348.7,120804
2020/4/20,2371,0,0,0,26510111.51,122101
2020/4/21,2336,0,0,0,26776226.99,121741
2020/4/22,2300,0,0,0,27970314.85,117837
2020/4/23,2301,0,0,0,28406697.65,116959
2020/4/24,2333,0,0,0,24335003.5,116870
2020/4/25,2419,0,0,0,23658175.0,119719
2020/4/26,2457,0,0,0,44753990.09,119852
2020/4/27,2466,0,0,0,44999416.59,119240
2020/4/28,2541,0,0,0,339818015.1,122975
2020/4/29,2623,0,0,0,338231191.6,129643
2020/4/30,2867,0,0,0,340126255.9,150891
2020/5/1,3013,0,0,1,339516057.1,167854
2020/5/2,3079,0,0,2,338564962.8,174255
2020/5/3,3105,0,0,3,319870571.0,181154
2020/5/4,3184,0,0,4,319991099.5,190263
2020/5/5,3328,0,0,5,24485113.64,211992
2020/5/6,3432,0,0,5,23980472.02,229104
2020/5/7,3372,0,0,5,21550955.82,234790
2020/5/8,3392,0,0,4,23138923.83,243045
2020/5/9,3535,0,0,3,23904936.63,261579
2020/5/10,3793,0,0,2,23792651.05,288206
2020/5/11,3939,0,0,1,23819402.1,314746
2020/5/12,4059,0,0,0,24336425.95,327677
2020/5/13,4166,0,0,0,28501389.8,342889
2020/5/14,4310,0,0,0,30119524.3,355214
2020/5/15,4386,0,0,0,30995667.96,369134
2020/5/16,4496,0,0,0,31739155.57,376052
2020/5/17,4538,0,0,0,31462770.54,376108
2020/5/18,4568,0,0,0,32232062.93,374932
2020/5/19,4609,0,0,0,35105694.98,381462
2020/5/20,4760,0,0,0,34238422.75,390978
2020/5/21,4876,0,0,0,36149073.38,395898
2020/5/22,5014,0,0,0,37011008.64,401082
