date_time,activity,members1,members2,members3,holiday,nop,totalsales
2020/1/1,0,8737,0,0,1,221758,164101892.7
2020/1/2,0,13921,0,0,1,467468,299349472.0
2020/1/3,0,19134,0,0,1,711196,447756935.0
2020/1/4,0,24809,0,0,1,959211,609309649.7
2020/1/5,0,30631,0,0,1,1231410,808572944.7
2020/1/6,0,36268,0,0,1,1479323,1011325854.0
2020/1/7,0,41885,0,0,1,1748532,1190055563.0
2020/1/8,0,38945,0,0,0,1810502,1224769118.0
2020/1/9,0,40498,0,0,0,1848478,1258282900.0
2020/1/10,0,41851,0,0,0,1886838,1326830874.0
2020/1/11,0,43185,0,0,0,1909354,1421240393.0
2020/1/12,0,44206,0,0,0,1910593,1432364106.0
2020/1/13,0,44911,0,0,0,1936552,1435547863.0
2020/1/14,0,45560,0,0,0,1947318,1449484623.0
2020/1/15,0,46035,0,0,0,1953768,1452892773.0
2020/1/16,30,46007,0,0,0,1960998,1477894145.0
2020/1/17,0,48104,0,0,0,1965549,1454240317.0
2020/1/18,0,50397,0,0,0,1982003,1393214253.0
2020/1/19,0,52370,0,0,0,1988304,1394134506.0
2020/1/20,0,54914,0,0,0,1998641,1373182174.0
2020/1/21,0,57388,0,0,0,2000183,1351222347.0
2020/1/22,0,60248,0,0,0,1985277,1346410452.0
2020/1/23,0,62638,0,0,0,1951644,1339549935.0
2020/1/24,0,61762,0,0,1,1843926,1293423179.0
2020/1/25,0,58506,0,0,2,1694508,1197305824.0
2020/1/26,0,56085,1,0,3,1574624,1107452026.0
2020/1/27,0,52454,1,0,4,1435979,1086901685.0
2020/1/28,0,48652,1,0,5,1283447,1065974011.0
2020/1/29,0,44361,1,0,6,1121792,1022848204.0
2020/1/30,0,40015,1,0,7,968203,1003463811.0
2020/1/31,0,36795,1,0,7,887701,1023436529.0
2020/2/1,0,33342,1,0,6,840473,1058386317.0
2020/2/2,0,29409,0,0,5,771459,1057799872.0
2020/2/3,0,26185,0,0,4,694860,1815079305.0
2020/2/4,0,22956,0,0,3,623100,1745249985.0
2020/2/5,0,19773,0,0,2,562325,1669475498.0
