date_time,activity,holiday,nop,members,totalsales
2020/1/1,0,1,221758,8737,164101892
2020/1/2,0,1,467468,13921,299349472
2020/1/3,0,1,711196,19134,447756935
2020/1/4,0,1,959211,24809,609309649
2020/1/5,0,1,1231410,30631,808572944
2020/1/6,0,1,1479323,36268,1011325854
2020/1/7,0,1,1748532,41885,1190055563
2020/1/8,0,0,1810502,38945,1224769118
2020/1/9,0,0,1848478,40498,1258282900
2020/1/10,0,0,1886838,41851,1326830874
2020/1/11,0,0,1909354,43185,1421240393
2020/1/12,0,0,1910593,44206,1432364106
2020/1/13,0,0,1936552,44911,1435547863
2020/1/14,0,0,1947318,45560,1449484623
2020/1/15,0,0,1953768,46035,1452892773
2020/1/16,30,0,1960998,46007,1477894145
2020/1/17,0,0,1965549,48104,1454240317
2020/1/18,0,0,1982003,50397,1393214253
2020/1/19,0,0,1988304,52370,1394134506
2020/1/20,0,0,1998641,54914,1373182174
2020/1/21,0,0,2000183,57388,1351222347
2020/1/22,0,0,1985277,60248,1346410452
2020/1/23,0,0,1951644,62638,1339549935
2020/1/24,0,1,1843926,61762,1293423179
2020/1/25,0,2,1694508,58506,1197305824
2020/1/26,0,3,1574624,56086,1107452026
2020/1/27,0,4,1435979,52455,1086901685
2020/1/28,0,5,1283447,48653,1065974011
2020/1/29,0,6,1121792,44362,1022848204
2020/1/30,0,7,968203,40016,1003463811
2020/1/31,0,7,887701,36796,1023436529
2020/2/1,0,6,840473,33343,1058386317
2020/2/2,0,5,771459,29409,1057799872
2020/2/3,0,4,694860,26185,1815079305
2020/2/4,0,3,623100,22956,1745249985
2020/2/5,0,2,562325,19773,1669475498
2020/2/6,0,1,502784,16408,1572319664
2020/2/7,0,0,447448,13400,1473653529
2020/2/8,0,0,401164,12238,1401729335
2020/2/9,0,0,363439,11310,1329382612
2020/2/10,0,0,331628,10713,461305427
2020/2/11,0,0,302691,10094,420363834
2020/2/12,0,0,278179,9663,382122559
2020/2/13,0,0,259815,9434,348850691
2020/2/14,0,0,239509,8917,324453961
2020/2/15,0,0,222488,8590,296495900
2020/2/16,0,0,201791,8208,280457000
2020/2/17,0,0,190720,7851,611660010
2020/2/18,0,0,185597,7706,1108540736
2020/2/19,0,0,183840,7600,1597417668
2020/2/20,0,0,183219,7667,1802203707
2020/2/21,0,0,188060,7782,2034811991
2020/2/22,0,0,190738,7991,2039887738
2020/2/23,0,0,193686,8136,2044171193
2020/2/24,0,0,198493,8283,1692823691
2020/2/25,0,0,204555,8554,1579454465
2020/2/26,0,0,211175,8838,1099469102
2020/2/27,0,0,215772,8946,954336170
2020/2/28,0,0,223606,9314,707305744
2020/2/29,0,0,229770,9444,873209702
2020/3/1,0,0,239174,9538,887474570
2020/3/2,0,0,244759,9633,912971194
2020/3/3,0,0,247831,9648,548835803
2020/3/4,0,0,246758,9356,746385570
2020/3/5,0,0,246908,9248,693614104
