holiday,nop,members,totalsales
1,2,1,2
1,5,1,3
1,7,2,4
1,10,2,6
1,12,3,8
1,15,4,10
1,17,4,12
0,18,4,12
0,18,4,13
0,19,4,13
0,19,4,14
0,19,4,14
0,19,4,14
0,19,5,14
0,20,5,15
0,20,5,15
0,20,5,15
0,20,5,14
0,20,5,14
0,20,5,14
0,20,6,14
0,20,6,13
0,20,6,13
1,18,6,13
2,17,6,12
3,16,6,11
4,14,5,11
5,13,5,11
6,11,4,10
7,10,4,10
7,9,4,10
6,8,3,11
5,8,3,11
4,7,3,18
3,6,2,17
2,6,2,17
1,5,2,16
0,4,1,15
0,4,1,14
0,4,1,13
0,3,1,5
0,3,1,4
0,3,1,4
0,3,1,3
0,2,1,3
0,2,1,3
0,2,1,3
0,2,1,6
0,2,1,11
0,2,1,16
0,2,1,18
0,2,1,20
0,2,1,20
0,2,1,20
0,2,1,17
0,2,1,16
0,2,1,11
0,2,1,10
0,2,1,7
0,2,1,9
0,2,1,9
0,2,1,9
0,2,1,5
0,2,1,7
0,2,1,7
0,2,1,7
0,2,1,6
0,2,1,6
0,2,1,6
0,2,1,5
0,2,1,3
0,2,1,3
0,2,1,3
0,2,1,3
0,2,1,2
0,2,1,2
0,2,1,2
0,2,1,1
0,2,1,1
0,2,1,5
0,2,1,5
0,2,1,5
0,2,1,5
0,2,1,5
0,2,1,5
0,2,1,5
0,2,0,1
0,2,0,1
0,1,0,1
0,1,0,1
0,2,0,1
0,2,0,0
0,1,0,0
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,1
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
2,1,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,3
0,1,0,3
0,2,0,3
1,2,0,3
2,2,0,3
3,2,0,3
4,2,0,3
5,2,0,0
5,2,0,0
5,2,0,0
4,2,0,0
3,3,0,0
2,3,0,0
1,3,0,0
0,3,0,0
0,3,0,0
0,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
0,4,1,0
0,4,1,0
0,4,1,0
0,4,1,0
0,4,1,0
0,4,1,0
0,4,1,0
0,4,1,0
0,5,1,0
0,5,1,0
0,5,1,0
0,5,1,0
0,5,1,0
0,5,1,0
0,5,1,1
0,6,1,1
0,6,1,1
0,6,1,3
0,6,1,3
0,6,1,3
0,6,1,3
0,7,1,2
0,7,1,2
0,7,1,3
0,6,1,1
0,6,1,0
0,5,1,0
0,4,1,0
0,3,1,0
0,2,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
2,1,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,2,0,1
0,2,0,1
0,2,0,1
0,3,0,27
0,3,0,27
0,3,0,27
0,3,0,27
0,4,1,27
0,4,1,27
0,4,1,27
0,4,1,0
0,5,1,5
0,5,1,5
0,5,1,5
0,5,1,5
0,5,1,5
0,6,1,5
0,6,1,5
0,6,1,0
0,6,1,0
0,6,1,0
0,6,1,0
0,7,1,0
0,7,1,0
0,7,1,1
0,7,1,1
0,7,1,1
0,7,1,1
0,7,1,1
0,7,1,1
0,7,1,1
0,7,1,3
0,8,1,3
0,7,1,3
0,8,1,3
0,8,1,3
0,8,1,3
0,8,1,3
0,8,1,1
0,8,1,1
0,9,1,2
0,9,1,2
0,9,1,2
0,9,2,2
0,9,2,2
0,9,2,1
0,9,2,16
0,9,2,15
0,9,1,15
0,9,1,16
0,9,1,16
0,9,1,16
0,8,1,16
0,8,1,1
0,8,1,1
0,8,1,1
0,8,1,0
0,8,1,1
0,8,1,1
0,8,1,1
0,8,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,2,1
0,9,2,1
0,9,2,1
0,9,2,1
0,10,2,1
0,10,2,1
0,10,1,1
0,10,1,1
0,10,0,1
0,10,0,1
0,10,1,1
0,10,0,1
0,10,0,3
0,10,0,3
0,10,1,3
0,10,0,12
0,10,0,12
0,10,1,12
1,10,1,12
2,10,0,10
3,10,0,10
4,10,0,10
5,10,0,1
6,10,0,1
7,10,0,1
7,10,0,1
6,10,0,3
5,10,0,3
4,10,0,3
3,10,0,3
2,10,0,3
1,10,0,3
0,10,0,3
0,10,0,1
0,10,0,1
0,10,0,1
0,10,0,1
0,10,0,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,2,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,2
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,2
0,10,1,2
0,10,1,3
0,10,1,3
0,10,1,3
0,10,1,3
0,10,1,3
0,10,1,2
0,10,1,2
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,8,1,1
0,8,1,1
0,8,1,1
0,7,1,2
0,7,1,3
0,7,1,3
1,6,1,3
2,6,1,3
3,5,1,3
3,5,1,3
3,5,1,2
3,5,1,0
3,4,1,0
2,4,1,0
1,4,1,0
0,4,1,0
0,4,1,0
0,4,1,1
0,4,1,1
0,4,1,1
0,4,1,1
0,4,1,1
0,4,1,1
0,4,1,1
0,4,1,1
0,4,1,1
0,4,1,1
0,3,1,1
0,3,1,1
0,3,1,1
0,3,1,2
0,3,1,2
0,4,1,2
0,3,1,2
0,3,1,2
0,3,1,2
0,3,1,2
0,3,1,1
0,3,0,1
0,2,0,1
0,2,0,1
0,3,0,1
0,3,0,1
0,3,1,1
0,3,1,1
0,3,1,1
0,3,1,1
1,3,1,1
2,3,1,1
3,3,0,1
4,2,0,0
5,2,0,0
6,2,0,0
7,2,0,0
6,3,0,0
5,3,0,0
4,3,0,0
3,4,1,0
2,4,1,0
1,5,1,0
0,5,1,1
0,5,1,1
0,5,1,2
0,5,1,2
0,6,1,2
0,6,1,2
0,6,1,2
0,6,1,1
0,6,1,2
0,6,1,1
0,6,1,1
0,6,1,1
0,6,1,1
0,6,1,1
0,6,1,1
0,6,1,1
0,6,1,1
0,6,1,1
0,6,1,1
0,6,1,1
0,7,1,1
0,7,1,1
0,8,1,1
0,8,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,9,1,1
0,9,1,1
1,9,1,1
2,9,1,1
3,9,1,1
3,9,1,1
3,9,1,1
3,9,1,1
3,9,1,1
2,9,1,1
1,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,1,1
0,10,0,105
0,10,0,105
0,10,0,105
0,10,0,105
0,10,0,105
0,10,1,105
0,10,1,105
0,10,1,1
0,10,2,1
1,11,2,1
2,11,2,1
3,11,2,1
4,11,3,1
5,11,3,1
5,11,2,1
5,10,2,1
4,10,2,1
3,10,2,1
2,10,2,1
1,10,2,1
0,9,2,1
0,9,2,1
0,10,2,1
0,10,2,1
0,10,2,1
0,10,2,1
0,10,2,1
0,10,2,1
0,10,2,14
0,9,2,14
0,9,1,14
0,9,1,14
0,9,1,14
0,9,1,14
0,9,1,14
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,9,1,1
0,8,1,1
0,8,1,1
0,8,1,1
0,8,1,1
0,8,0,1
0,8,0,1
0,8,0,1
0,8,0,1
0,8,0,1
0,8,0,1
1,8,0,1
2,8,0,1
3,8,0,1
3,8,0,1
3,8,0,1
3,8,0,1
3,8,0,1
2,8,0,1
1,8,0,1
0,8,0,1
0,8,0,1
0,8,0,1
0,8,0,1
0,7,0,1
0,7,0,1
0,7,0,1
0,7,0,4
0,7,0,4
0,7,0,4
0,6,0,4
0,6,0,4
0,6,0,4
0,6,0,4
0,6,0,1
0,7,0,1
0,7,0,1
0,8,0,1
0,8,0,1
0,8,0,1
0,9,0,1
0,8,0,1
0,8,0,1
0,8,0,1
0,9,0,1
